"year","month","state","month_num","male","female","adolescents","adults","seniors","total_deaths","covid_deaths","white","black","hispanic","asian","other","white_deaths","black_deaths","hispanic_deaths","asian_deaths","other_deaths","hover"
2020,1,"Alabama",1,0,0,0,0,0,4729,0,75.7,13.6,6.2,1.7,2.8,0,0,0,0,0,"Total Number of Deaths: 4729
Total Number of COVID19 Deaths: NA

White: 75.7
Black: 13.6
Hispanic: 6.2
Asian: 1.7
Other: 2.8

Adolescents: 0
Adult (Ages 18-64): NA
Seniors (Ages 65+): 0"
2020,2,"Alabama",2,0,0,0,0,0,4627,0,49.2,43.4,4.1,1.8,1.5,0,0,0,0,0,"Total Number of Deaths: 4627
Total Number of COVID19 Deaths: NA

White: 49.2
Black: 43.4
Hispanic: 4.1
Asian: 1.8
Other: 1.5

Adolescents: 0
Adult (Ages 18-64): 0
Seniors (Ages 65+): NA"
2020,3,"Alabama",3,31,17,0,0,0,4756,48,55.5,36.5,4,2.1,1.9,26,18,0,0,0,"Total Number of Deaths: 4756
Total Number of COVID19 Deaths: 48

White: 55.5
Black: 36.5
Hispanic: 4
Asian: 2.1
Other: 1.9

Adolescents: 0
Adult (Ages 18-64): NA
Seniors (Ages 65+): NA"
2020,4,"Alabama",4,197,142,0,0,259,4877,339,54.4,37.8,3.8,2.1,1.9,171,159,0,0,0,"Total Number of Deaths: 4877
Total Number of COVID19 Deaths: 339

White: 54.4
Black: 37.8
Hispanic: 3.8
Asian: 2.1
Other: 1.9

Adolescents: 0
Adult (Ages 18-64): NA
Seniors (Ages 65+): 259"
2020,5,"Alabama",5,214,216,0,0,338,5108,430,51.4,41,3.7,2.1,1.8,197,218,0,0,0,"Total Number of Deaths: 5108
Total Number of COVID19 Deaths: 430

White: 51.4
Black: 41
Hispanic: 3.7
Asian: 2.1
Other: 1.8

Adolescents: 0
Adult (Ages 18-64): NA
Seniors (Ages 65+): 338"
2020,6,"Alabama",6,187,212,0,107,291,4901,399,50.3,41.9,3.9,2.1,1.7,188,186,24,0,0,"Total Number of Deaths: 4901
Total Number of COVID19 Deaths: 399

White: 50.3
Black: 41.9
Hispanic: 3.9
Asian: 2.1
Other: 1.7

Adolescents: NA
Adult (Ages 18-64): 107
Seniors (Ages 65+): 291"
2020,7,"Alabama",7,438,441,0,0,676,5717,879,55.9,36,4.2,1.9,1.9,553,297,25,0,0,"Total Number of Deaths: 5717
Total Number of COVID19 Deaths: 879

White: 55.9
Black: 36
Hispanic: 4.2
Asian: 1.9
Other: 1.9

Adolescents: 0
Adult (Ages 18-64): NA
Seniors (Ages 65+): 676"
2020,8,"Alabama",8,495,469,0,0,735,5765,964,56.8,35.2,4.1,1.9,1.9,623,307,23,0,0,"Total Number of Deaths: 5765
Total Number of COVID19 Deaths: 964

White: 56.8
Black: 35.2
Hispanic: 4.1
Asian: 1.9
Other: 1.9

Adolescents: 0
Adult (Ages 18-64): NA
Seniors (Ages 65+): 735"
2020,9,"Alabama",9,276,292,0,0,455,5110,568,56.1,36,4.1,1.9,1.9,390,165,0,0,0,"Total Number of Deaths: 5110
Total Number of COVID19 Deaths: 568

White: 56.1
Black: 36
Hispanic: 4.1
Asian: 1.9
Other: 1.9

Adolescents: NA
Adult (Ages 18-64): NA
Seniors (Ages 65+): 455"
2020,10,"Alabama",10,315,245,0,0,439,5199,560,56.8,35.1,4.2,1.9,1.9,424,130,0,0,0,"Total Number of Deaths: 5199
Total Number of COVID19 Deaths: 560

White: 56.8
Black: 35.1
Hispanic: 4.2
Asian: 1.9
Other: 1.9

Adolescents: 0
Adult (Ages 18-64): NA
Seniors (Ages 65+): 439"
2020,11,"Alabama",11,432,336,0,0,611,5548,768,55.7,36.1,4.3,1.9,1.9,565,180,15,0,0,"Total Number of Deaths: 5548
Total Number of COVID19 Deaths: 768

White: 55.7
Black: 36.1
Hispanic: 4.3
Asian: 1.9
Other: 1.9

Adolescents: 0
Adult (Ages 18-64): NA
Seniors (Ages 65+): 611"
2020,12,"Alabama",12,975,774,0,0,1408,7025,1749,55.7,36.2,4.4,1.9,1.9,1337,386,18,0,0,"Total Number of Deaths: 7025
Total Number of COVID19 Deaths: 1749

White: 55.7
Black: 36.2
Hispanic: 4.4
Asian: 1.9
Other: 1.9

Adolescents: 0
Adult (Ages 18-64): NA
Seniors (Ages 65+): 1408"
2021,1,"Alabama",13,1307,1102,0,0,1891,7812,2409,55.4,36.6,4.2,1.9,1.9,1724,630,34,11,0,"Total Number of Deaths: 7812
Total Number of COVID19 Deaths: 2409

White: 55.4
Black: 36.6
Hispanic: 4.2
Asian: 1.9
Other: 1.9

Adolescents: NA
Adult (Ages 18-64): NA
Seniors (Ages 65+): 1891"
2021,2,"Alabama",14,522,444,0,0,738,5548,966,55.1,36.7,4.1,2,1.9,651,291,16,0,0,"Total Number of Deaths: 5548
Total Number of COVID19 Deaths: 966

White: 55.1
Black: 36.7
Hispanic: 4.1
Asian: 2
Other: 1.9

Adolescents: 0
Adult (Ages 18-64): NA
Seniors (Ages 65+): 738"
2021,3,"Alabama",15,208,184,0,0,289,5064,392,53.8,38.2,4,2,1.9,260,121,0,0,0,"Total Number of Deaths: 5064
Total Number of COVID19 Deaths: 392

White: 53.8
Black: 38.2
Hispanic: 4
Asian: 2
Other: 1.9

Adolescents: 0
Adult (Ages 18-64): NA
Seniors (Ages 65+): 289"
2021,4,"Alabama",16,111,105,0,0,143,4962,216,52.8,39.1,4.2,2,1.8,132,79,0,0,0,"Total Number of Deaths: 4962
Total Number of COVID19 Deaths: 216

White: 52.8
Black: 39.1
Hispanic: 4.2
Asian: 2
Other: 1.8

Adolescents: 0
Adult (Ages 18-64): NA
Seniors (Ages 65+): 143"
