"Date.as.of","Start.Date","End.Date","State","County.name","FIPS.County.Code","Urban.Rural.Code","Deaths.involving.COVID.19","Deaths.from.All.Causes","Footnote"
"12/08/2021","01/01/2020","12/04/2021","AK","Aleutians East Borough",2013,"Noncore",NA,15,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AK","Anchorage Municipality",2020,"Medium metro",510,4685,""
"12/08/2021","01/01/2020","12/04/2021","AK","Bethel Census Area",2050,"Noncore",26,227,""
"12/08/2021","01/01/2020","12/04/2021","AK","Denali Borough",2068,"Noncore",NA,12,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AK","Dillingham Census Area",2070,"Noncore",NA,56,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AK","Fairbanks North Star Borough",2090,"Small metro",134,1117,""
"12/08/2021","01/01/2020","12/04/2021","AK","Hoonah-Angoon Census Area",2105,"Noncore",NA,29,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AK","Juneau City and Borough",2110,"Micropolitan",NA,333,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AK","Kenai Peninsula Borough",2122,"Noncore",55,779,""
"12/08/2021","01/01/2020","12/04/2021","AK","Ketchikan Gateway Borough",2130,"Micropolitan",10,188,""
"12/08/2021","01/01/2020","12/04/2021","AK","Kodiak Island Borough",2150,"Noncore",NA,140,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AK","Matanuska-Susitna Borough",2170,"Medium metro",153,1347,""
"12/08/2021","01/01/2020","12/04/2021","AK","Nome Census Area",2180,"Noncore",NA,119,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AK","North Slope Borough",2185,"Noncore",NA,72,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AK","Northwest Arctic Borough",2188,"Noncore",NA,84,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AK","Prince of Wales-Hyder Census Area",2198,"Noncore",NA,87,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AK","Sitka City and Borough",2220,"Noncore",NA,112,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AK","Southeast Fairbanks Census Area",2240,"Noncore",NA,70,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AK","Valdez-Cordova Census Area",2261,"Noncore",NA,92,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AK","Wade Hampton Census Area",2270,"Noncore",NA,86,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AL","Autauga County",1001,"Medium metro",130,1020,""
"12/08/2021","01/01/2020","12/04/2021","AL","Baldwin County",1003,"Small metro",517,4746,""
"12/08/2021","01/01/2020","12/04/2021","AL","Barbour County",1005,"Noncore",59,534,""
"12/08/2021","01/01/2020","12/04/2021","AL","Bibb County",1007,"Large fringe metro",40,384,""
"12/08/2021","01/01/2020","12/04/2021","AL","Blount County",1009,"Large fringe metro",67,974,""
"12/08/2021","01/01/2020","12/04/2021","AL","Bullock County",1011,"Noncore",NA,193,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"12/08/2021","01/01/2020","12/04/2021","AL","Butler County",1013,"Noncore",61,476,""
"12/08/2021","01/01/2020","12/04/2021","AL","Calhoun County",1015,"Small metro",492,3313,""
"12/08/2021","01/01/2020","12/04/2021","AL","Chambers County",1017,"Micropolitan",44,706,""
"12/08/2021","01/01/2020","12/04/2021","AL","Cherokee County",1019,"Noncore",26,557,""
"12/08/2021","01/01/2020","12/04/2021","AL","Chilton County",1021,"Large fringe metro",54,796,""
"12/08/2021","01/01/2020","12/04/2021","AL","Choctaw County",1023,"Noncore",18,239,""
"12/08/2021","01/01/2020","12/04/2021","AL","Clarke County",1025,"Noncore",24,553,""
"12/08/2021","01/01/2020","12/04/2021","AL","Clay County",1027,"Noncore",42,373,""
"12/08/2021","01/01/2020","12/04/2021","AL","Cleburne County",1029,"Noncore",22,281,""
"12/08/2021","01/01/2020","12/04/2021","AL","Coffee County",1031,"Micropolitan",158,1095,""
"12/08/2021","01/01/2020","12/04/2021","AL","Colbert County",1033,"Small metro",248,1469,""
"12/08/2021","01/01/2020","12/04/2021","AL","Conecuh County",1035,"Noncore",28,268,""
